INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (1, 1, 'Tarjeta', 50.00);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (2, 2, 'Efectivo', 30.50);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (3, 3, 'Tarjeta', 45.75);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (4, 4, 'Efectivo', 60.00);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (5, 5, 'Tarjeta', 25.99);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (6, 6, 'Tarjeta', 100.00);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (7, 7, 'Efectivo', 35.50);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (8, 8, 'Tarjeta', 40.75);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (9, 9, 'Efectivo', 80.00);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (10, 10, 'Tarjeta', 55.20);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (11, 11, 'Efectivo', 60.30);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (12, 12, 'Tarjeta', 90.00);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (13, 13, 'Efectivo', 45.00);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (14, 14, 'Tarjeta', 33.75);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (15, 15, 'Efectivo', 75.20);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (16, 16, 'Tarjeta', 25.60);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (17, 17, 'Efectivo', 55.80);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (18, 18, 'Tarjeta', 41.50);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (19, 19, 'Efectivo', 99.00);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (20, 20, 'Tarjeta', 29.99);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (21, 21, 'Efectivo', 48.75);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (22, 22, 'Tarjeta', 77.50);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (23, 23, 'Efectivo', 35.25);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (24, 24, 'Tarjeta', 65.80);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (25, 25, 'Efectivo', 89.10);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (26, 26, 'Tarjeta', 38.50);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (27, 27, 'Efectivo', 92.75);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (28, 28, 'Tarjeta', 34.80);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (29, 29, 'Efectivo', 57.40);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (30, 30, 'Tarjeta', 22.00);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (31, 31, 'Efectivo', 44.50);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (32, 32, 'Tarjeta', 88.00);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (33, 33, 'Efectivo', 36.60);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (34, 34, 'Tarjeta', 91.75);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (35, 35, 'Efectivo', 53.30);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (36, 36, 'Tarjeta', 79.50);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (37, 37, 'Efectivo', 66.40);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (38, 38, 'Tarjeta', 82.20);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (39, 39, 'Efectivo', 55.10);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (40, 40, 'Tarjeta', 28.99);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (41, 41, 'Efectivo', 74.80);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (42, 42, 'Tarjeta', 59.30);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (43, 43, 'Efectivo', 46.20);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (44, 44, 'Tarjeta', 93.75);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (45, 45, 'Efectivo', 41.50);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (46, 46, 'Tarjeta', 84.40);
INSERT INTO Facturas (idFactura, idMesa, tipoPago, Importe) VALUES (47, 47, 'Efectivo', 37.75);
